cím;rendezo;gyarto;ev;hossz
24 óra a halálig;Brian Smrz;Dél-afrikai Köztársaság;2017;93
Koncz Zsuzsa Aréna koncert 2017. március 11.;Gyöngyösi Szabolcs;Magyarország;2017;107
Buena Vista Social Club: Adios;Lucy Walker;Kuba, Amerikai Egyesült Államok;2017;110
Bővérű nővérek;Jeff Baena;Amerikai Egyesült Államok, Kanada;2017;90
Életem legrosszabb napja;Pólik József;Magyarország;2017;96
Hősök voltak - Csukás Sándor Szécsényi Ferencről és Fábri Zoltánról;Kerékgyártó Yvonne;Magyarország;2017;11
Rossz anyák karácsonya;Scott Moore, Jon Lucas;Amerikai Egyesült Államok, Kína;2017;102
Tökéletes hang 3;Trish Sie;Amerikai Egyesült Államok;2017;93
Tad, az utolsó felfedező;Enrique Gato, David Alonso, Álvaro Augustin;Amerikai Egyesült Államok;2017;85
A kőkezű;Jonathan Jakubowicz;Panama, Amerikai Egyesült Államok;2016;111
Szabadulószoba;Will Wernick;Amerikai Egyesült Államok;2017;81
Gyilkosság az Orient Expresszen;Kenneth Branagh;Amerikai Egyesült Államok, Málta;2017;109
Coco;Lee Unkrich;Amerikai Egyesült Államok;2017;106
Az óriáskerék;Woody Allen;Amerikai Egyesült Államok;2017;101
Háry János;Richly Zsolt;Magyarország;1983;62
Bőrpofa;Alexandre Bustillo, Julien Maury;Amerikai Egyesült Államok;2017;88
Jöjj el napfény!;Claire Denis;Franciaország;2017;94
Teheráni tabuk;Ali Soozandeh;Németország, Ausztria;2017;90
A cukrász;Ofir Raul Graizer;Németország, Izrael;2017;104
Késik a szüret;James Franco;Amerikai Egyesült Államok;2016;110
Az igazság ligája;Zack Snyder;Amerikai Egyesült Államok;2017;121
Pócspetri;Ember Judit;Magyarország;1983;190
Ember Judit a Pócspetri keletkezéséről;Buglya Sándor;Magyarország;1998;40
Dunaparti randevú;Székely István;Magyarország;1936;67
Elit harcosok;Terry Cunningham;Amerikai Egyesült Államok;2001;99
Gyilkosok klubja;Dennis Petersen, Devin Hamilton;Amerikai Egyesült Államok;2002;82
Bicska;David Hugh Jones;Amerikai Egyesült Államok;1989;98
Moszkva tér;Török Ferenc;Magyarország;2001;88
Paddington 2;Paul King;Franciaország, Egyesült Királyság;2017;103
Űrbázis végveszélyben;Fred Olen Ray;Amerikai Egyesült Államok;2002;92
300 000 Pengő az uccán ;Balogh Béla;Magyarország;1937;75
120-as tempó;Kardos László;Magyarország;1937;72
Viharok vihara;Julian Simpson;Egyesült Királyság;2007;148
Péter Meseországban 1. rész;Wolfgang Urchs;Németország;1990;24
Péter Meseországban 2. rész;Wolfgang Urchs;Németország;1990;25
Galilei;Dargay Attila;Magyarország;1962;9
Az igazi csoda;Stephen Chbosky;Amerikai Egyesült Államok;2017;113
Megjött apuci 2;Sean Anders;Amerikai Egyesült Államok;2017;96
The Commuter - Nincs kiszállás;Jaume Collet-Serra;Franciaország, Egyesült Királyság, Amerikai Egyesült Államok;2017;107
Jumanji - Vár a dzsungel;Jake Kasdan;Amerikai Egyesült Államok;2017;112
Jézus;Fernando Guzzoni;Kolumbia, Franciaország, Chile, Görögország, Németország;2016;85
SzóKiMondóka 2. fejezet - Víz;Miller Scott;Magyarország;2015;20
Kicsinyítés;Alexander Payne;Amerikai Egyesült Államok;2017;131
Vándorszínészek;Sándor Pál;Magyarország;2017;102
A hentes, a kurva és a félszemű;Szász János;Magyarország;2017;103
Nemek harca;Valerie Faris, Jonathan Dayton;Amerikai Egyesült Államok, Egyesült Királyság;2017;121
kádár.kom;Aradi-Beöthy Péter, Bodnár V. Róbert;Magyarország;2017;84
Legeslegjobb cimborák - Állati a buli;Theresa Strozyk;Németország;2016;72
Büntető ököl;S. Craig Zahler;Amerikai Egyesült Államok;2017;132
A legsötétebb óra;Joe Wright;Amerikai Egyesült Államok;2017;126
Apavadászat;Lawrence Sher;Amerikai Egyesült Államok;2017;113
Insidious - Az utolsó kulcs;Adam Robitel;Amerikai Egyesült Államok;2017;101
68 lepedő;Trent Haaga;Amerikai Egyesült Államok;2017;93
A bármicvó fiúk;Oláh Kata;Magyarország;2017;74
Ferdinánd;Carlos Saldanha;Amerikai Egyesült Államok;2017;99
Poirot: 13. évad - 1. Az elefántok nem felejtenek;John Strickland;Egyesült Királyság;2013;90
Poirot: 13. évad - 2. A nagy négyes;Peter Lydon;Egyesült Királyság;2013;90
Poirot: 13. évad - 3. Gloriett a hullának;Tom Vaughan;Egyesült Királyság;2013;90
Poirot: 13. évad - 4. Herkules munkái;Andy Wilson;Egyesült Királyság;2013;90
Poirot: 13. évad - 5. Függöny - Poirot utolsó esete;Hettie Macdonald;Egyesült Királyság;2013;90
Elit játszma;Aaron Sorkin;Amerikai Egyesült Államok;2017;140
Szex, ex, szerelem;Maurice Barthélémy;Franciaország;2017;84
Floridai álom;Sean Baker;Amerikai Egyesült Államok;2017;111
Doktor Knock;Lorraine Lévy;Franciaország;2017;113
Egy szent szarvas meggyilkolása;Yorgos Lanthimos;Görögország;2017;121
Rendhagyó történetek - Henrik Irén Dargay Attiláról;Kerékgyártó Yvonne;Magyarország;2017;17
Scooby-Doo és Batman - A bátor és a vakmerő;Jake Castorena;Amerikai Egyesült Államok;2017;69
